sclk,target,source,mass_table,mass_per_charge,p_energy,alt_t,sc_vel_t_scx,sc_vel_t_scy,sc_vel_t_scz,c1counts,c2counts
2005-048T00:03:19.322,EPIMETHEUS,csn,45,1.0,0.187,71797.90400000001,,,,25,6
2005-048T00:03:19.356,EPIMETHEUS,csn,45,2.0,0.373,71797.88900000001,,,,97,13
2005-048T00:03:19.390,EPIMETHEUS,csn,45,3.0,0.56,71797.87400000001,,,,12,9
2005-048T00:03:19.424,EPIMETHEUS,csn,45,4.0,0.746,71797.86,,,,15,7
2005-048T00:03:19.458,EPIMETHEUS,csn,45,5.0,0.9329999999999999,71797.845,,,,17,9
2005-048T00:03:19.492,EPIMETHEUS,csn,45,6.0,1.119,71797.83,,,,22,5
2005-048T00:03:19.526,EPIMETHEUS,csn,45,7.0,1.306,71797.815,,,,15,11
2005-048T00:03:19.560,EPIMETHEUS,csn,45,8.0,1.492,71797.80099999999,,,,20,8
2005-048T00:03:19.594,EPIMETHEUS,csn,45,12.0,2.239,71797.786,,,,12,7
2005-048T00:03:19.628,EPIMETHEUS,csn,45,13.0,2.425,71797.771,,,,16,10
